Month,Day,Year,model,skintone,lightness_value,date,clean_date
1,1,2018,Lupita Nyongo,#402C2C,0.212745098,1/1/2018,2018-1-1
10,1,2015,Lupita Nyongo,#58342B,0.257422969,10/1/2015,2015-10-1
3,1,2009,Michelle Obama,#844930,0.354117647,3/1/2009,2009-3-1
4,1,2015,Serena Williams,#875038,0.375,4/1/2015,2015-4-1
7,1,2014,Lupita Nyongo,#85524F,0.416666667,7/1/2014,2014-7-1
10,1,2016,Lupita Nyongo,#8F5347,0.420588235,10/1/2016,2016-10-1
3,1,2017,Imaan Hammam,#AB542D,0.425490196,3/1/2017,2017-3-1
2,1,2018,Serena Williams,#935E47,0.430514706,2/1/2018,2018-2-1
4,1,2009,Beyonce,#91684C,0.433893557,4/1/2009,2009-4-1
12,1,2002,Halle Berry,#906051,0.44248366,12/1/2002,2002-12-1
6,1,2012,Serena Williams,#9C5A46,0.443697479,6/1/2012,2012-6-1
12,1,2016,Michelle Obama,#A37249,0.465277778,12/1/2016,2016-12-1
5,1,2009,Liya Kebede,#AC7842,0.468736383,5/1/2009,2009-5-1
12,1,2008,Jennifer Aniston,#95745A,0.470437406,12/1/2008,2008-12-1
4,1,2016,Rihanna,#9C6A59,0.483333333,4/1/2016,2016-4-1
3,1,2017,Adwoa Aboah,#BA673E,0.486862745,3/1/2017,2017-3-1
3,1,2007,Jennifer Hudson,#A67955,0.493382353,3/1/2007,2007-3-1
6,1,2018,Rihanna,#B47648,0.495938375,6/1/2018,2018-6-1
8,1,2008,Kate Moss,#A17F5F,0.50261437899999994,8/1/2008,2008-8-1
9,1,2014,Imaan Hammam,#B1694F,0.503594771,9/1/2014,2014-9-1
9,1,2018,Beyonce,#B97647,0.504738562,9/1/2018,2018-9-1
11,1,2008,Reese Witherspoon,#9F8365,0.51124183,11/1/2008,2008-11-1
2,1,2008,Kate Bosworth,#A67D61,0.515686275,2/1/2008,2008-2-1
2,1,2009,Blake Lively,#A9835E,0.516470588,2/1/2009,2009-2-1
4,1,2013,Michelle Obama,#BD6C4A,0.517156863,4/1/2013,2013-4-1
6,1,2009,Cameron Diaz,#A38764,0.517647059,6/1/2009,2009-6-1
6,1,2002,Ashley Judd,#AD705B,0.518552036,6/1/2002,2002-6-1
7,1,2018,Gisele Bundchen,#B87D52,0.52379085,7/1/2018,2018-7-1
9,1,2014,Joan Smalls,#B77156,0.527818627,9/1/2014,2014-9-1
8,1,2011,Sarah Jessica Parker,#AF815F,0.529411765,8/1/2011,2011-8-1
8,1,2016,Gigi Hadid,#BC7353,0.533115468,8/1/2016,2016-8-1
10,1,2002,Christy Turlington,#A57F6A,0.533936652,10/1/2002,2002-10-1
5,1,2005,Liya Kebede,#B17E62,0.540056022,5/1/2005,2005-5-1
8,1,2003,Sarah Jessica Parker,#B08466,0.547058824,8/1/2003,2003-8-1
1,1,2003,Sandra Bullock,#B08067,0.548627451,1/1/2003,2003-1-1
3,1,2017,Kendall Jenner,#C87450,0.55,3/1/2017,2017-3-1
12,1,2007,Penelope Cruz,#AE866B,0.551693405,12/1/2007,2007-12-1
4,1,2003,Brooke Shields,#B18A67,0.552249135,4/1/2003,2003-4-1
1,1,2017,Ruth Negga,#B88162,0.553594771,1/1/2017,2017-1-1
11,1,2009,Penelope Cruz,#B59165,0.554117647,11/1/2009,2009-11-1
3,1,2017,Ashley Graham,#D0724A,0.55465686300000006,3/1/2017,2017-3-1
11,1,2009,Kate Hudson,#B49268,0.558039216,11/1/2009,2009-11-1
1,1,2001,Marion Jones,#C77955,0.558371041,1/1/2001,2001-1-1
3,1,2017,Liu Wen,#C87955,0.560980392,3/1/2017,2017-3-1
11,1,2009,Marion Cotillard,#B1946D,0.562745098,11/1/2009,2009-11-1
3,1,2004,Angelina Jolie,#B87B67,0.565418895,3/1/2004,2004-3-1
10,1,2000,Charlize Theron,#BD7B63,0.567201426,10/1/2000,2000-10-1
7,1,2010,Marion Cotillard,#BF7C62,0.567647059,7/1/2010,2010-7-1
1,1,2004,Jennifer Aniston,#C28361,0.57224736,1/1/2004,2004-1-1
4,1,2004,Gwen Stefani,#B5826E,0.573333333,4/1/2004,2004-4-1
10,1,2006,Sandra Bullock,#BB8B6D,0.580784314,10/1/2006,2006-10-1
3,1,2000,Amber Valletta,#BF9368,0.580926916,3/1/2000,2000-3-1
6,1,2005,Salma Hayek,#BB8A6F,0.58583878,6/1/2005,2005-6-1
11,1,2009,Nicole Kidman,#B99A71,0.585947712,11/1/2009,2009-11-1
8,1,2017,Gigi Hadid,#CC865F,0.586631016,8/1/2017,2017-8-1
3,1,2002,Gwyneth Paltrow,#C58A66,0.587254902,3/1/2002,2002-3-1
4,1,2007,Scarlett Johansson,#AD9280,0.591503268,4/1/2007,2007-4-1
3,1,2017,Gigi Hadid,#D3815A,0.592941176,3/1/2017,2017-3-1
5,1,2007,Lily Donaldson,#BD8F70,0.593333333,5/1/2007,2007-5-1
2,1,2003,Debra Messing,#C09070,0.597385621,2/1/2003,2003-2-1
7,1,2017,Zendaya,#C6876A,0.598039216,7/1/2017,2017-7-1
10,1,2001,Carolyn Murphy,#BF8873,0.601960784,10/1/2001,2001-10-1
5,1,2001,Carmen Kass,#CB8B67,0.602058824,5/1/2001,2001-5-1
6,1,2006,Uma Thurman,#CF9B64,0.602111614,6/1/2006,2006-6-1
5,1,2003,Cameron Diaz,#AE9284,0.602696078,5/1/2003,2003-5-1
6,1,2011,Penelope Cruz,#C58C6F,0.604656863,6/1/2011,2011-6-1
3,1,2010,Tina Fey,#D09466,0.609150327,3/1/2010,2010-3-1
5,1,2007,Caroline Trentini,#C29774,0.609607843,5/1/2007,2007-5-1
12,1,2010,Angelina Jolie,#B39684,0.610784314,12/1/2010,2010-12-1
6,1,2007,Keira Knightley,#C89770,0.613507625,6/1/2007,2007-6-1
3,1,2013,Beyonce,#CA8870,0.61752451,3/1/2013,2013-3-1
10,1,2003,Gwyneth Paltrow,#CB956F,0.617647059,10/1/2003,2003-10-1
2,1,2007,Renee Zellweger,#BC9E7F,0.618954248,2/1/2007,2007-2-1
2,1,2002,Sarah Jessica Parker,#C59876,0.62120098,2/1/2002,2002-2-1
3,1,2017,Vittoria Ceretti,#DB8861,0.621746881,3/1/2017,2017-3-1
4,1,2012,Jennifer Lopez,#C39C7A,0.622689076,4/1/2012,2012-4-1
4,1,2017,Selena Gomez,#CE966F,0.623227753,4/1/2017,2017-4-1
10,1,2014,Reese Witherspoon,#DD8162,0.62627451,10/1/2014,2014-10-1
9,1,2015,Beyonce,#BB9085,0.628571429,9/1/2015,2015-9-1
6,1,2008,Sarah Jessica Parker,#BBA186,0.630882353,6/1/2008,2008-6-1
5,1,2007,Hilary Rhoda,#C3967E,0.630952381,5/1/2007,2007-5-1
6,1,2003,Reese Witherspoon,#B49B8D,0.631045752,6/1/2003,2003-6-1
5,1,2009,Natalia Vodianova,#D3A46E,0.631808279,5/1/2009,2009-5-1
8,1,2018,Saoirse Ronan,#CAA378,0.634238311,8/1/2018,2018-8-1
8,1,2002,Jennifer Aniston,#CD9476,0.634436275,8/1/2002,2002-8-1
8,1,2009,Christy Turlington,#B89C8B,0.634992459,8/1/2009,2009-8-1
1,1,2008,Kate Hudson,#CB9978,0.635650624,1/1/2008,2008-1-1
9,1,2014,Karlie Kloss,#D39071,0.635947712,9/1/2014,2014-9-1
6,1,2016,Margot Robbie,#D29F72,0.635947712,6/1/2016,2016-6-1
