brand,brand_short,product,product_short,hex_code,hue,saturation,value,lightness,group,lightness_value
Maybelline,mb,Fit Me,fmf,f3cfb3,26,0.26,0.95,86,2,0.86
Maybelline,mb,Fit Me,fmf,ffe3c2,32,0.24,1,92,2,0.92
Maybelline,mb,Fit Me,fmf,ffe0cd,23,0.2,1,91,2,0.91
Maybelline,mb,Fit Me,fmf,ffd3be,19,0.25,1,88,2,0.88
Maybelline,mb,Fit Me,fmf,bd9584,18,0.3,0.74,65,2,0.65
Maybelline,mb,Fit Me,fmf,eabda6,20,0.29,0.92,80,2,0.8
Maybelline,mb,Fit Me,fmf,fbd2ad,28,0.31,0.98,87,2,0.87
Maybelline,mb,Fit Me,fmf,e2b597,24,0.33,0.89,77,2,0.77
Maybelline,mb,Fit Me,fmf,e4b38e,26,0.38,0.89,77,2,0.77
Maybelline,mb,Fit Me,fmf,b2856f,20,0.38,0.7,60,2,0.6
Maybelline,mb,Fit Me,fmf,e8ba8c,30,0.4,0.91,79,2,0.79
Maybelline,mb,Fit Me,fmf,f3b584,26,0.46,0.95,79,2,0.79
Maybelline,mb,Fit Me,fmf,f0b996,23,0.37,0.94,80,2,0.8
Maybelline,mb,Fit Me,fmf,e3b082,28,0.43,0.89,76,2,0.76
Maybelline,mb,Fit Me,fmf,eab181,27,0.45,0.92,77,2,0.77
Maybelline,mb,Fit Me,fmf,9d7359,23,0.43,0.62,52,2,0.52
Maybelline,mb,Fit Me,fmf,e2aa7b,27,0.46,0.89,74,2,0.74
Maybelline,mb,Fit Me,fmf,d99358,27,0.59,0.85,67,2,0.67
Maybelline,mb,Fit Me,fmf,9c744f,29,0.49,0.61,52,2,0.52
Maybelline,mb,Fit Me,fmf,b18b65,30,0.43,0.69,61,2,0.61
Maybelline,mb,Fit Me,fmf,84583f,22,0.52,0.52,42,2,0.42
Maybelline,mb,Fit Me,fmf,7d5631,29,0.61,0.49,40,2,0.4
Maybelline,mb,Fit Me,fmf,c07746,24,0.64,0.75,57,2,0.57
Maybelline,mb,Fit Me,fmf,643c27,21,0.61,0.39,30,2,0.3
Maybelline,mb,Fit Me,fmf,edcfb9,25,0.22,0.93,85,2,0.85
Maybelline,mb,Fit Me,fmf,e1bba7,21,0.26,0.88,79,2,0.79
Maybelline,mb,Fit Me,fmf,c1a07e,30,0.35,0.76,68,2,0.68
Maybelline,mb,Fit Me,fmf,d09e7c,24,0.4,0.82,69,2,0.69
Maybelline,mb,Fit Me,fmf,c7967d,20,0.37,0.78,66,2,0.66
Maybelline,mb,Fit Me,fmf,c09578,24,0.38,0.75,65,2,0.65
Maybelline,mb,Fit Me,fmf,9d6f48,28,0.54,0.62,51,2,0.51
Maybelline,mb,Fit Me,fmf,a86d40,26,0.62,0.66,52,2,0.52
Maybelline,mb,Fit Me,fmf,7f5c3b,29,0.54,0.5,42,2,0.42
Maybelline,mb,Fit Me,fmf,735642,24,0.43,0.45,39,2,0.39
Maybelline,mb,Fit Me,fmf,6b5041,21,0.39,0.42,37,2,0.37
Maybelline,mb,Fit Me,fmf,7d5c4d,19,0.38,0.49,42,2,0.42
Maybelline,mb,Fit Me,fmf,5c4433,25,0.45,0.36,31,2,0.31
Maybelline,mb,Fit Me,fmf,5e3a23,23,0.63,0.37,28,2,0.28
Maybelline,mb,Fit Me,fmf,5e4638,22,0.4,0.37,32,2,0.32
Maybelline,mb,Fit Me,fmf,3f2018,12,0.62,0.25,16,2,0.16
bareMinerals,bm,barePRO,pro,edceb2,28,0.25,0.93,85,2,0.85
bareMinerals,bm,barePRO,pro,f0cba1,32,0.33,0.94,84,2,0.84
bareMinerals,bm,barePRO,pro,ebc99c,34,0.34,0.92,83,2,0.83
bareMinerals,bm,barePRO,pro,e6bc94,29,0.36,0.9,79,2,0.79
bareMinerals,bm,barePRO,pro,dcb79a,26,0.3,0.86,77,2,0.77
bareMinerals,bm,barePRO,pro,eac8a3,31,0.3,0.92,83,2,0.83
bareMinerals,bm,barePRO,pro,e9c89e,34,0.32,0.91,83,2,0.83
bareMinerals,bm,barePRO,pro,d4ad8a,28,0.35,0.83,74,2,0.74
bareMinerals,bm,barePRO,pro,cfa786,27,0.35,0.81,72,2,0.72
bareMinerals,bm,barePRO,pro,d8b08c,28,0.35,0.85,75,2,0.75
bareMinerals,bm,barePRO,pro,d4a97f,30,0.4,0.83,72,2,0.72
bareMinerals,bm,barePRO,pro,deb58b,30,0.37,0.87,77,2,0.77
bareMinerals,bm,barePRO,pro,dbae85,29,0.39,0.86,75,2,0.75
bareMinerals,bm,barePRO,pro,d5a275,28,0.45,0.84,71,2,0.71
bareMinerals,bm,barePRO,pro,d1a67e,29,0.4,0.82,71,2,0.71
bareMinerals,bm,barePRO,pro,e0ab81,27,0.42,0.88,74,2,0.74
bareMinerals,bm,barePRO,pro,ca9f75,30,0.42,0.79,69,2,0.69
bareMinerals,bm,barePRO,pro,c69c6c,32,0.45,0.78,68,2,0.68
bareMinerals,bm,barePRO,pro,bd9359,35,0.53,0.74,64,2,0.64
bareMinerals,bm,barePRO,pro,b38355,29,0.53,0.7,59,2,0.59
bareMinerals,bm,barePRO,pro,ab7945,31,0.6,0.67,55,2,0.55
bareMinerals,bm,barePRO,pro,ab7944,31,0.6,0.67,55,2,0.55
bareMinerals,bm,barePRO,pro,ad7d59,26,0.49,0.68,57,2,0.57
bareMinerals,bm,barePRO,pro,a16c38,30,0.65,0.63,51,2,0.51
bareMinerals,bm,barePRO,pro,976236,27,0.64,0.59,47,2,0.47
bareMinerals,bm,barePRO,pro,8a5833,26,0.63,0.54,43,2,0.43
bareMinerals,bm,barePRO,pro,8d5c31,28,0.65,0.55,44,2,0.44
bareMinerals,bm,barePRO,pro,775436,28,0.55,0.47,39,2,0.39
bareMinerals,bm,barePRO,pro,6e4b2f,27,0.57,0.43,35,2,0.35
Estée Lauder,el,Double Wear,dw,ffd6ba,24,0.27,1,89,2,0.89
Estée Lauder,el,Double Wear,dw,d0a26e,32,0.47,0.82,70,2,0.7
